file_path,file_size,file_type,scenario,decision,reason,replacement_file,confidence
data/CTU-13-Dataset/1/botnet-capture-20110810-neris.pcap,58266506,PCAP,1,DELETE,Raw packet capture redundant with verified flow-level Binetflow representation for temporal forecasting,data/CTU-13-Dataset/1/capture20110810.binetflow,HIGH
data/CTU-13-Dataset/1/capture20110810.binetflow,386629271,Binetflow,1,KEEP,Primary flow-level temporal forecasting dataset containing bidirectional flows and ground-truth botnet labels,N/A (Primary flow representation),HIGH
data/CTU-13-Dataset/1/Neris.exe,586240,Malware Executable,1,REVIEW_REQUIRED,Original malware binary executable preserved for sandbox provenance and non-flow reference; not safe to delete automatically,N/A,HIGH
data/CTU-13-Dataset/1/README.html,4959,Documentation / Metadata,1,KEEP,"Essential scenario documentation, capture context, and botnet environment metadata",N/A,HIGH
data/CTU-13-Dataset/2/botnet-capture-20110811-neris.pcap,36261479,PCAP,2,DELETE,Raw packet capture redundant with verified flow-level Binetflow representation for temporal forecasting,data/CTU-13-Dataset/2/capture20110811.binetflow,HIGH
data/CTU-13-Dataset/2/capture20110811.binetflow,247231783,Binetflow,2,KEEP,Primary flow-level temporal forecasting dataset containing bidirectional flows and ground-truth botnet labels,N/A (Primary flow representation),HIGH
data/CTU-13-Dataset/2/Neris.exe,586240,Malware Executable,2,REVIEW_REQUIRED,Original malware binary executable preserved for sandbox provenance and non-flow reference; not safe to delete automatically,N/A,HIGH
data/CTU-13-Dataset/2/README,2014,Documentation / Metadata,2,KEEP,"Essential scenario documentation, capture context, and botnet environment metadata",N/A,HIGH
data/CTU-13-Dataset/3/botnet-capture-20110812-rbot.pcap,128575191,PCAP,3,DELETE,Raw packet capture redundant with verified flow-level Binetflow representation for temporal forecasting,data/CTU-13-Dataset/3/capture20110812.binetflow,HIGH
data/CTU-13-Dataset/3/capture20110812.binetflow,639643247,Binetflow,3,KEEP,Primary flow-level temporal forecasting dataset containing bidirectional flows and ground-truth botnet labels,N/A (Primary flow representation),HIGH
data/CTU-13-Dataset/3/rbot.exe,225792,Malware Executable,3,REVIEW_REQUIRED,Original malware binary executable preserved for sandbox provenance and non-flow reference; not safe to delete automatically,N/A,HIGH
data/CTU-13-Dataset/3/README,2179,Documentation / Metadata,3,KEEP,"Essential scenario documentation, capture context, and botnet environment metadata",N/A,HIGH
data/CTU-13-Dataset/4/botnet-capture-20110815-rbot-dos.pcap,222379082,PCAP,4,DELETE,Raw packet capture redundant with verified flow-level Binetflow representation for temporal forecasting,data/CTU-13-Dataset/4/capture20110815.binetflow,HIGH
data/CTU-13-Dataset/4/capture20110815.binetflow,153789874,Binetflow,4,KEEP,Primary flow-level temporal forecasting dataset containing bidirectional flows and ground-truth botnet labels,N/A (Primary flow representation),HIGH
data/CTU-13-Dataset/4/rbot.exe,225792,Malware Executable,4,REVIEW_REQUIRED,Original malware binary executable preserved for sandbox provenance and non-flow reference; not safe to delete automatically,N/A,HIGH
data/CTU-13-Dataset/4/README,8076,Documentation / Metadata,4,KEEP,"Essential scenario documentation, capture context, and botnet environment metadata",N/A,HIGH
data/CTU-13-Dataset/5/botnet-capture-20110815-fast-flux.pcap,30941919,PCAP,5,DELETE,Raw packet capture redundant with verified flow-level Binetflow representation for temporal forecasting,data/CTU-13-Dataset/5/capture20110815-2.binetflow,HIGH
