Dataset,Horizon_K,Horizon_Seconds,F1,Precision,Recall,False_Positive_Rate,FPR_Percent,Accuracy,TN,FP,FN,TP,Evaluation_Type
CIC-IDS2017,1,+30s,0.0423,0.0287,0.0800,0.3133,31.33%,0.6238,445,203,69,6,Dataset_Specific
CIC-IDS2017,3,+90s,0.0282,0.0191,0.0533,0.3164,31.64%,0.6183,443,205,71,4,Dataset_Specific
CIC-IDS2017,6,+180s,0.0424,0.0291,0.0779,0.3096,30.96%,0.6252,446,200,71,6,Dataset_Specific
UNSW-NB15,1,+30s,0.9896,0.9794,1.0000,0.9000,90.00%,0.9794,1,9,0,427,Dataset_Specific
UNSW-NB15,3,+90s,0.9873,0.9771,0.9977,1.0000,100.00%,0.9748,0,10,1,426,Dataset_Specific
UNSW-NB15,6,+180s,0.9873,0.9771,0.9977,1.0000,100.00%,0.9748,0,10,1,426,Dataset_Specific
CTU-13,1,+30s,0.8963,0.9778,0.8274,0.2316,23.16%,0.8229,136,41,376,1802,Dataset_Specific
CTU-13,3,+90s,0.8912,0.9754,0.8203,0.2514,25.14%,0.8149,134,45,391,1785,Dataset_Specific
CTU-13,6,+180s,0.8946,0.9718,0.8288,0.2680,26.80%,0.8208,142,52,370,1791,Dataset_Specific
Overall_Summed,1,+30s,0.8649,0.8983,0.8340,0.3030,30.30%,0.8014,582,253,445,2235,Dataset_Summed
Overall_Summed,3,+90s,0.8597,0.8949,0.8271,0.3106,31.06%,0.7943,577,260,463,2215,Dataset_Summed
Overall_Summed,6,+180s,0.8633,0.8946,0.8341,0.3082,30.82%,0.7997,588,262,442,2223,Dataset_Summed
Overall_Pooled,1,+30s,0.8569,0.9789,0.7619,0.0527,5.27%,0.8060,791,44,638,2042,Pooled_Master
Overall_Pooled,3,+90s,0.8540,0.9765,0.7588,0.0585,5.85%,0.8023,788,49,646,2032,Pooled_Master
Overall_Pooled,6,+180s,0.8555,0.9755,0.7617,0.0600,6.00%,0.8048,799,51,635,2030,Pooled_Master
