Dataset,Horizon_K,Horizon_Seconds,F1,Precision,Recall,False_Positive_Rate,FPR_Percent,Accuracy,Specificity,ROC_AUC,PR_AUC,TN,FP,FN,TP,Train_Samples,Val_Samples,Test_Samples,Test_Attack_Actual,Test_Benign_Actual
CIC-IDS2017,1,+30s,0.0423,0.0287,0.08,0.3133,31.33%,0.6238,0.6867,0.2422,0.0639,445,203,69,6,3332,711,723,75,648
CIC-IDS2017,3,+90s,0.0282,0.0191,0.0533,0.3164,31.64%,0.6183,0.6836,0.2449,0.0909,443,205,71,4,3332,711,723,75,648
CIC-IDS2017,6,+180s,0.0424,0.0291,0.0779,0.3096,30.96%,0.6252,0.6904,0.2578,0.067,446,200,71,6,3332,711,723,77,646
UNSW-NB15,1,+30s,0.9896,0.9794,1.0,0.9,90.0%,0.9794,0.1,0.6295,0.9859,1,9,0,427,2032,435,437,427,10
UNSW-NB15,3,+90s,0.9873,0.9771,0.9977,1.0,100.0%,0.9748,0.0,0.4932,0.981,0,10,1,426,2032,435,437,427,10
UNSW-NB15,6,+180s,0.9873,0.9771,0.9977,1.0,100.0%,0.9748,0.0,0.3321,0.9684,0,10,1,426,2032,435,437,427,10
CTU-13,1,+30s,0.8963,0.9778,0.8274,0.2316,23.16%,0.8229,0.7684,0.8676,0.9863,136,41,376,1802,10928,2337,2355,2178,177
CTU-13,3,+90s,0.8912,0.9754,0.8203,0.2514,25.14%,0.8149,0.7486,0.8698,0.9873,134,45,391,1785,10928,2337,2355,2176,179
CTU-13,6,+180s,0.8946,0.9718,0.8288,0.268,26.8%,0.8208,0.732,0.861,0.9837,142,52,370,1791,10928,2337,2355,2161,194
Overall,1,+30s,0.8569,0.9789,0.7619,0.0527,5.27%,0.806,0.9473,0.8761,0.9579,791,44,638,2042,16292,3483,3515,2680,835
Overall,3,+90s,0.854,0.9765,0.7588,0.0585,5.85%,0.8023,0.9415,0.8741,0.9554,788,49,646,2032,16292,3483,3515,2678,837
Overall,6,+180s,0.8555,0.9755,0.7617,0.06,6.0%,0.8048,0.94,0.8779,0.9569,799,51,635,2030,16292,3483,3515,2665,850
