Architecture,Dataset,Horizon,Horizon_K,Threshold,Calibrated,Accuracy,Precision,Recall,F1,FPR,FPR_Percent,ROC_AUC,Brier_Score,ECE,State_MAE,Stage_Macro_F1,Total_Parameters,Model_Size_KB,Training_Time_s,Latency_per_Sample_ms
Logistic_Regression,CIC-IDS2017,+30s,1,0.5,No,0.6238,0.0287,0.08,0.0423,0.3133,31.33%,N/A,N/A,N/A,N/A,N/A,23,1.0,0.45,0.0012
Logistic_Regression,CIC-IDS2017,+90s,3,0.5,No,0.6183,0.0191,0.0533,0.0282,0.3164,31.64%,N/A,N/A,N/A,N/A,N/A,23,1.0,0.45,0.0012
Logistic_Regression,CIC-IDS2017,+180s,6,0.5,No,0.6252,0.0291,0.0779,0.0424,0.3096,30.96%,N/A,N/A,N/A,N/A,N/A,23,1.0,0.45,0.0012
Logistic_Regression,UNSW-NB15,+30s,1,0.5,No,0.9794,0.9794,1.0,0.9896,0.9,90.0%,N/A,N/A,N/A,N/A,N/A,23,1.0,0.45,0.0012
Logistic_Regression,UNSW-NB15,+90s,3,0.5,No,0.9748,0.9771,0.9977,0.9873,1.0,100.0%,N/A,N/A,N/A,N/A,N/A,23,1.0,0.45,0.0012
Logistic_Regression,UNSW-NB15,+180s,6,0.5,No,0.9748,0.9771,0.9977,0.9873,1.0,100.0%,N/A,N/A,N/A,N/A,N/A,23,1.0,0.45,0.0012
Logistic_Regression,CTU-13,+30s,1,0.5,No,0.8229,0.9778,0.8274,0.8963,0.2316,23.16%,N/A,N/A,N/A,N/A,N/A,23,1.0,0.45,0.0012
Logistic_Regression,CTU-13,+90s,3,0.5,No,0.8149,0.9754,0.8203,0.8912,0.2514,25.14%,N/A,N/A,N/A,N/A,N/A,23,1.0,0.45,0.0012
Logistic_Regression,CTU-13,+180s,6,0.5,No,0.8208,0.9718,0.8288,0.8946,0.268,26.8%,N/A,N/A,N/A,N/A,N/A,23,1.0,0.45,0.0012
Logistic_Regression,Overall,+30s,1,0.5,No,0.806,0.9789,0.7619,0.8569,0.0527,5.27%,N/A,N/A,N/A,N/A,N/A,23,1.0,0.45,0.0012
Logistic_Regression,Overall,+90s,3,0.5,No,0.8023,0.9765,0.7588,0.854,0.0585,5.85%,N/A,N/A,N/A,N/A,N/A,23,1.0,0.45,0.0012
Logistic_Regression,Overall,+180s,6,0.5,No,0.8048,0.9755,0.7617,0.8555,0.06,6.0%,N/A,N/A,N/A,N/A,N/A,23,1.0,0.45,0.0012
LSTM_World_Model,CIC-IDS2017,+30s,1,0.5,No,0.657,0.0,0.0,0.0,0.267,26.7%,0.81,0.24,0.18,0.235,0.2226,278240,1103.6,69.8,0.0434
LSTM_World_Model,CIC-IDS2017,+90s,3,0.5,No,0.6625,0.0,0.0,0.0,0.2608,26.08%,0.81,0.24,0.18,0.2366,0.2357,278240,1103.6,69.8,0.0434
LSTM_World_Model,CIC-IDS2017,+180s,6,0.5,No,0.6432,0.0,0.0,0.0,0.2802,28.02%,0.81,0.24,0.18,0.2469,0.2354,278240,1103.6,69.8,0.0434
LSTM_World_Model,UNSW-NB15,+30s,1,0.5,No,0.7437,0.973,0.7588,0.8526,0.9,90.0%,0.81,0.24,0.18,0.1438,0.1361,278240,1103.6,69.8,0.0434
LSTM_World_Model,UNSW-NB15,+90s,3,0.5,No,0.7437,0.973,0.7588,0.8526,0.9,90.0%,0.81,0.24,0.18,0.1478,0.1155,278240,1103.6,69.8,0.0434
LSTM_World_Model,UNSW-NB15,+180s,6,0.5,No,0.7803,0.9769,0.7939,0.876,0.8,80.0%,0.81,0.24,0.18,0.1439,0.1211,278240,1103.6,69.8,0.0434
LSTM_World_Model,CTU-13,+30s,1,0.5,No,0.603,0.9191,0.6258,0.7446,0.678,67.8%,0.81,0.24,0.18,0.1898,0.6173,278240,1103.6,69.8,0.0434
LSTM_World_Model,CTU-13,+90s,3,0.5,No,0.5805,0.9195,0.5983,0.7249,0.6369,63.69%,0.81,0.24,0.18,0.1923,0.6532,278240,1103.6,69.8,0.0434
LSTM_World_Model,CTU-13,+180s,6,0.5,No,0.5919,0.8968,0.6275,0.7384,0.8041,80.41%,0.81,0.24,0.18,0.196,0.5374,278240,1103.6,69.8,0.0434
LSTM_World_Model,Overall,+30s,1,0.5,No,0.6316,0.8482,0.6295,0.7226,0.3617,36.17%,0.81,0.24,0.18,0.1934,0.3031,278240,1103.6,69.8,0.0434
LSTM_World_Model,Overall,+90s,3,0.5,No,0.6176,0.8478,0.6072,0.7076,0.3489,34.89%,0.81,0.24,0.18,0.1959,0.3224,278240,1103.6,69.8,0.0434
