horizon,horizon_k,feature_name,direct_mae,direct_rmse,rollout_mae,rollout_rmse,mae_delta,rmse_delta
+30s,1,total_flows,0.1611,0.2938,0.1611,0.2938,0.0,0.0
+30s,1,unique_src_hosts,0.0981,0.164,0.0981,0.164,0.0,0.0
+30s,1,unique_dst_hosts,0.2191,0.4261,0.2191,0.4261,0.0,0.0
+30s,1,unique_dst_ports,0.0606,0.1015,0.0606,0.1015,0.0,0.0
+30s,1,unique_protocols,0.3388,0.4528,0.3388,0.4528,0.0,0.0
+30s,1,total_packets,0.3197,2.8534,0.3197,2.8534,0.0,0.0
+30s,1,total_bytes,0.1853,0.6844,0.1853,0.6844,0.0,0.0
+30s,1,inbound_bytes,0.1354,0.9394,0.1354,0.9394,0.0,0.0
+30s,1,outbound_bytes,0.1233,0.4088,0.1233,0.4088,0.0,0.0
+30s,1,inbound_outbound_ratio,0.1697,0.4911,0.1697,0.4911,0.0,0.0
+30s,1,mean_flow_duration,0.4093,0.671,0.4093,0.671,0.0,0.0
+30s,1,mean_packet_rate,0.3887,0.8444,0.3887,0.8444,0.0,0.0
+30s,1,mean_byte_rate,0.3241,0.9437,0.3241,0.9437,0.0,0.0
+30s,1,mean_iat,0.1869,0.4135,0.1869,0.4135,0.0,0.0
+30s,1,std_iat,0.1519,0.3017,0.1519,0.3017,0.0,0.0
+30s,1,syn_count,0.0982,0.1588,0.0982,0.1588,0.0,0.0
+30s,1,ack_count,0.0774,0.1238,0.0774,0.1238,0.0,0.0
+30s,1,rst_count,0.0419,0.0733,0.0419,0.0733,0.0,0.0
+30s,1,fin_count,0.1503,0.2323,0.1503,0.2323,0.0,0.0
+30s,1,connection_failure_rate,0.3957,0.6958,0.3957,0.6958,0.0,0.0
+30s,1,unique_host_pair_count,0.1226,0.1973,0.1226,0.1973,0.0,0.0
+30s,1,fan_out_ratio,0.2703,0.4553,0.2703,0.4553,0.0,0.0
+90s,3,total_flows,0.1771,0.3311,0.1796,0.3295,0.0025,-0.0016
+90s,3,unique_src_hosts,0.0915,0.1651,0.127,0.2309,0.0355,0.0658
+90s,3,unique_dst_hosts,0.205,0.3413,0.2176,0.3528,0.0126,0.0116
+90s,3,unique_dst_ports,0.0616,0.1092,0.0636,0.1118,0.0021,0.0026
+90s,3,unique_protocols,0.336,0.4455,0.3468,0.4581,0.0109,0.0126
+90s,3,total_packets,0.3776,2.9723,0.3734,2.9759,-0.0042,0.0036
+90s,3,total_bytes,0.2458,1.1602,0.2437,1.1581,-0.0021,-0.0021
+90s,3,inbound_bytes,0.1362,1.0109,0.1564,1.007,0.0203,-0.0039
+90s,3,outbound_bytes,0.2293,1.6015,0.2191,1.6059,-0.0102,0.0044
+90s,3,inbound_outbound_ratio,0.1735,0.541,0.1779,0.5368,0.0043,-0.0042
+90s,3,mean_flow_duration,0.4063,0.6749,0.4351,0.7141,0.0288,0.0392
+90s,3,mean_packet_rate,0.4176,0.8941,0.4214,0.905,0.0038,0.0108
+90s,3,mean_byte_rate,0.4352,1.5333,0.4463,1.5359,0.0111,0.0026
+90s,3,mean_iat,0.2208,0.5575,0.2253,0.5731,0.0045,0.0157
+90s,3,std_iat,0.1802,0.3304,0.1599,0.3191,-0.0203,-0.0114
+90s,3,syn_count,0.098,0.159,0.1051,0.1781,0.0071,0.019
+90s,3,ack_count,0.0662,0.1186,0.0865,0.1496,0.0203,0.031
+90s,3,rst_count,0.0525,0.0824,0.0464,0.0795,-0.0061,-0.0029
+90s,3,fin_count,0.1451,0.2384,0.159,0.2571,0.0139,0.0187
+90s,3,connection_failure_rate,0.4283,0.7873,0.4335,0.779,0.0052,-0.0083
+90s,3,unique_host_pair_count,0.1155,0.1717,0.1475,0.2276,0.032,0.0558
+90s,3,fan_out_ratio,0.27,0.4414,0.274,0.4537,0.004,0.0123
+180s,6,total_flows,0.1723,0.3201,0.1885,0.3199,0.0162,-0.0002
+180s,6,unique_src_hosts,0.0921,0.161,0.1706,0.3167,0.0785,0.1558
+180s,6,unique_dst_hosts,0.217,0.3696,0.2569,0.4164,0.0398,0.0468
+180s,6,unique_dst_ports,0.0623,0.0922,0.0649,0.0991,0.0026,0.0068
+180s,6,unique_protocols,0.3473,0.4656,0.375,0.4859,0.0277,0.0203
+180s,6,total_packets,0.2915,2.8012,0.2848,2.8035,-0.0067,0.0023
+180s,6,total_bytes,0.1708,0.3826,0.1469,0.3824,-0.0239,-0.0003
+180s,6,inbound_bytes,0.1048,0.3506,0.0947,0.3493,-0.0101,-0.0013
+180s,6,outbound_bytes,0.1246,0.4892,0.1374,0.4906,0.0127,0.0014
+180s,6,inbound_outbound_ratio,0.1715,0.5332,0.1996,0.5725,0.0281,0.0392
+180s,6,mean_flow_duration,0.4227,0.7018,0.4729,0.7715,0.0502,0.0697
+180s,6,mean_packet_rate,0.3541,0.7201,0.36,0.7129,0.0058,-0.0072
+180s,6,mean_byte_rate,0.3804,1.4102,0.4095,1.416,0.0292,0.0058
+180s,6,mean_iat,0.1884,0.4928,0.1993,0.4992,0.0109,0.0064
+180s,6,std_iat,0.1356,0.266,0.1371,0.2738,0.0014,0.0078
+180s,6,syn_count,0.0872,0.1606,0.1128,0.2079,0.0256,0.0473
+180s,6,ack_count,0.0627,0.1164,0.1009,0.2058,0.0382,0.0894
+180s,6,rst_count,0.0437,0.0867,0.0508,0.0924,0.0071,0.0057
+180s,6,fin_count,0.1472,0.2485,0.1736,0.3084,0.0265,0.0599
+180s,6,connection_failure_rate,0.3913,0.6723,0.4304,0.6949,0.0391,0.0226
+180s,6,unique_host_pair_count,0.1197,0.1895,0.1904,0.3095,0.0707,0.1199
+180s,6,fan_out_ratio,0.2676,0.4299,0.286,0.4471,0.0184,0.0172
