perturbation_type,feature,feature_index,original_logit,perturbed_logit,delta_logit,original_calibrated_probability,perturbed_calibrated_probability,delta_calibrated_probability,attributed_direction,perturbation_consistent_with_ig,methodological_label
feature_ablation,fan_out_ratio,21,-2.0325,-3.316,-1.2835,0.3207,0.2688,-0.0519,attack_supporting,True,model sensitivity under controlled feature perturbation
feature_ablation,mean_packet_rate,11,-2.0325,0.4171,2.4496,0.3207,0.4322,0.1115,attack_suppressing,True,model sensitivity under controlled feature perturbation
feature_ablation,std_iat,14,-2.0325,-0.61,1.4225,0.3207,0.3838,0.0632,attack_suppressing,True,model sensitivity under controlled feature perturbation
feature_ablation,connection_failure_rate,19,-2.0325,-2.9098,-0.8773,0.3207,0.2846,-0.0361,attack_supporting,True,model sensitivity under controlled feature perturbation
feature_ablation,unique_protocols,4,-2.0325,-1.7203,0.3121,0.3207,0.3341,0.0134,attack_suppressing,True,model sensitivity under controlled feature perturbation
feature_ablation,fan_out_ratio,21,-1.9635,-3.3722,-1.4087,0.3236,0.2666,-0.057,attack_supporting,True,model sensitivity under controlled feature perturbation
feature_ablation,mean_packet_rate,11,-1.9635,0.3706,2.3341,0.3236,0.43,0.1063,attack_suppressing,True,model sensitivity under controlled feature perturbation
feature_ablation,std_iat,14,-1.9635,-0.5036,1.4599,0.3236,0.3888,0.0652,attack_suppressing,True,model sensitivity under controlled feature perturbation
feature_ablation,connection_failure_rate,19,-1.9635,-2.8492,-0.8858,0.3236,0.287,-0.0366,attack_supporting,True,model sensitivity under controlled feature perturbation
feature_ablation,unique_protocols,4,-1.9635,-1.6039,0.3596,0.3236,0.3391,0.0155,attack_suppressing,True,model sensitivity under controlled feature perturbation
feature_ablation,fan_out_ratio,21,-2.1584,-3.4087,-1.2503,0.3153,0.2652,-0.0501,attack_supporting,True,model sensitivity under controlled feature perturbation
feature_ablation,mean_packet_rate,11,-2.1584,0.4192,2.5776,0.3153,0.4323,0.1169,attack_suppressing,True,model sensitivity under controlled feature perturbation
feature_ablation,std_iat,14,-2.1584,-0.7352,1.4233,0.3153,0.3781,0.0627,attack_suppressing,True,model sensitivity under controlled feature perturbation
feature_ablation,connection_failure_rate,19,-2.1584,-2.9606,-0.8021,0.3153,0.2826,-0.0328,attack_supporting,True,model sensitivity under controlled feature perturbation
feature_ablation,unique_protocols,4,-2.1584,-1.7644,0.394,0.3153,0.3322,0.0168,attack_suppressing,True,model sensitivity under controlled feature perturbation
feature_ablation,fan_out_ratio,21,-2.4325,-3.4319,-0.9994,0.3039,0.2643,-0.0396,attack_supporting,True,model sensitivity under controlled feature perturbation
feature_ablation,mean_packet_rate,11,-2.4325,0.5194,2.9519,0.3039,0.4371,0.1332,attack_suppressing,True,model sensitivity under controlled feature perturbation
feature_ablation,std_iat,14,-2.4325,-1.1775,1.255,0.3039,0.358,0.0541,attack_suppressing,True,model sensitivity under controlled feature perturbation
feature_ablation,connection_failure_rate,19,-2.4325,-3.1117,-0.6792,0.3039,0.2767,-0.0273,attack_supporting,True,model sensitivity under controlled feature perturbation
feature_ablation,unique_protocols,4,-2.4325,-2.0424,0.3902,0.3039,0.3203,0.0163,attack_suppressing,True,model sensitivity under controlled feature perturbation
