feature,mean_signed_attribution,mean_absolute_attribution,median_absolute_attribution,top5_frequency,overall_direction,normalized_importance,dataset
fan_out_ratio,2.973954,2.974003,3.091743,0.9945,attack_supporting,0.412187,CIC-IDS2017
mean_packet_rate,-1.09431,1.09666,1.050608,0.9682,attack_suppressing,0.151994,CIC-IDS2017
std_iat,-1.069821,1.069821,0.962712,0.9917,attack_suppressing,0.148274,CIC-IDS2017
connection_failure_rate,0.596196,0.711445,0.716036,0.9073,attack_supporting,0.098604,CIC-IDS2017
unique_protocols,-0.297275,0.297275,0.275966,0.6321,attack_suppressing,0.041201,CIC-IDS2017
mean_byte_rate,0.115601,0.198979,0.181299,0.2019,attack_supporting,0.027578,CIC-IDS2017
unique_dst_hosts,-0.03766,0.14955,0.1394,0.0443,attack_suppressing,0.020727,CIC-IDS2017
mean_iat,0.094936,0.132686,0.086854,0.1452,attack_supporting,0.01839,CIC-IDS2017
unique_dst_ports,0.072414,0.118134,0.07013,0.0968,attack_supporting,0.016373,CIC-IDS2017
mean_flow_duration,0.098988,0.108635,0.116075,0.0069,attack_supporting,0.015056,CIC-IDS2017
unique_host_pair_count,-0.001475,0.106293,0.083524,0.0111,attack_suppressing,0.014732,CIC-IDS2017
fin_count,0.087359,0.087359,0.090535,0.0,attack_supporting,0.012108,CIC-IDS2017
unique_src_hosts,-0.035664,0.038462,0.033539,0.0,attack_suppressing,0.005331,CIC-IDS2017
total_flows,-0.014842,0.034276,0.02907,0.0,attack_suppressing,0.004751,CIC-IDS2017
rst_count,0.025371,0.025371,0.02556,0.0,attack_supporting,0.003516,CIC-IDS2017
syn_count,-0.019584,0.019774,0.016751,0.0,attack_suppressing,0.002741,CIC-IDS2017
total_packets,-0.014354,0.015373,0.013666,0.0,attack_suppressing,0.002131,CIC-IDS2017
total_bytes,-0.013218,0.013347,0.012579,0.0,attack_suppressing,0.00185,CIC-IDS2017
inbound_bytes,0.008956,0.008956,0.009153,0.0,attack_supporting,0.001241,CIC-IDS2017
outbound_bytes,-0.006082,0.006335,0.003262,0.0,attack_suppressing,0.000878,CIC-IDS2017
ack_count,-0.000521,0.002442,0.001858,0.0,attack_suppressing,0.000338,CIC-IDS2017
inbound_outbound_ratio,0.0,0.0,0.0,0.0,attack_suppressing,0.0,CIC-IDS2017
ack_count,-5.503304,5.503304,5.484046,1.0,attack_suppressing,0.193374,UNSW-NB15
syn_count,4.948021,4.948021,5.075514,1.0,attack_supporting,0.173862,UNSW-NB15
unique_dst_ports,3.172243,3.172243,3.249367,1.0,attack_supporting,0.111466,UNSW-NB15
fin_count,2.540949,2.540949,2.645104,0.8398,attack_supporting,0.089283,UNSW-NB15
mean_byte_rate,-2.348969,2.359512,2.387376,0.8856,attack_suppressing,0.082908,UNSW-NB15
unique_protocols,1.838579,1.838579,1.863964,0.2128,attack_supporting,0.064604,UNSW-NB15
total_flows,-1.266256,1.266256,1.234137,0.0618,attack_suppressing,0.044493,UNSW-NB15
fan_out_ratio,1.094787,1.094787,1.095242,0.0,attack_supporting,0.038468,UNSW-NB15
inbound_outbound_ratio,1.064029,1.064029,1.022199,0.0,attack_supporting,0.037388,UNSW-NB15
mean_flow_duration,1.010057,1.010057,1.035817,0.0,attack_supporting,0.035491,UNSW-NB15
mean_packet_rate,0.546617,0.860818,0.707097,0.0,attack_supporting,0.030247,UNSW-NB15
unique_dst_hosts,-0.556859,0.556859,0.571718,0.0,attack_suppressing,0.019567,UNSW-NB15
unique_src_hosts,-0.554166,0.554166,0.569376,0.0,attack_suppressing,0.019472,UNSW-NB15
inbound_bytes,-0.402408,0.402408,0.408558,0.0,attack_suppressing,0.01414,UNSW-NB15
total_bytes,0.389061,0.389061,0.388956,0.0,attack_supporting,0.013671,UNSW-NB15
connection_failure_rate,-0.167492,0.254705,0.224794,0.0,attack_suppressing,0.00895,UNSW-NB15
unique_host_pair_count,0.24631,0.251498,0.257793,0.0,attack_supporting,0.008837,UNSW-NB15
total_packets,0.138234,0.15404,0.151076,0.0,attack_supporting,0.005413,UNSW-NB15
rst_count,-0.102944,0.102944,0.105776,0.0,attack_suppressing,0.003617,UNSW-NB15
std_iat,0.064376,0.064376,0.056577,0.0,attack_supporting,0.002262,UNSW-NB15
mean_iat,0.06205,0.06205,0.052889,0.0,attack_supporting,0.00218,UNSW-NB15
outbound_bytes,0.008484,0.008753,0.009731,0.0,attack_supporting,0.000308,UNSW-NB15
unique_host_pair_count,3.039912,3.039912,2.908412,1.0,attack_supporting,0.306095,CTU-13
unique_src_hosts,1.907313,1.907313,1.807189,0.9953,attack_supporting,0.192051,CTU-13
mean_packet_rate,1.464903,1.46497,1.348331,0.9843,attack_supporting,0.147511,CTU-13
mean_flow_duration,-0.921953,0.962842,0.898847,0.6739,attack_suppressing,0.09695,CTU-13
fan_out_ratio,-0.218481,0.337708,0.239678,0.2594,attack_suppressing,0.034004,CTU-13
unique_protocols,-0.266263,0.273468,0.205986,0.1223,attack_suppressing,0.027536,CTU-13
total_flows,-0.266702,0.269279,0.22053,0.2306,attack_suppressing,0.027114,CTU-13
unique_dst_ports,0.257696,0.261497,0.289711,0.152,attack_supporting,0.026331,CTU-13
connection_failure_rate,0.160353,0.232016,0.147564,0.1299,attack_supporting,0.023362,CTU-13
unique_dst_hosts,-0.046406,0.227976,0.147549,0.1711,attack_suppressing,0.022955,CTU-13
mean_byte_rate,0.051608,0.20048,0.156855,0.1312,attack_supporting,0.020187,CTU-13
total_packets,-0.12857,0.153442,0.105507,0.059,attack_suppressing,0.01545,CTU-13
rst_count,0.151471,0.152178,0.130206,0.0017,attack_supporting,0.015323,CTU-13
outbound_bytes,-0.118686,0.12053,0.046493,0.0335,attack_suppressing,0.012136,CTU-13
syn_count,0.111674,0.111682,0.093138,0.0,attack_supporting,0.011245,CTU-13
fin_count,-0.055161,0.11057,0.047501,0.0412,attack_suppressing,0.011134,CTU-13
total_bytes,-0.027959,0.069829,0.020203,0.0102,attack_suppressing,0.007031,CTU-13
