,total_flows,unique_src_hosts,unique_dst_hosts,unique_dst_ports,unique_protocols,total_packets,total_bytes,inbound_bytes,outbound_bytes,inbound_outbound_ratio,mean_flow_duration,mean_packet_rate,mean_byte_rate,mean_iat,std_iat,syn_count,ack_count,rst_count,fin_count,connection_failure_rate,unique_host_pair_count,fan_out_ratio
T-270s (t-9),-0.06705983,0.117858954,-0.014637284,0.057270132,-0.0040706196,-0.0034647577,0.00790344,-0.00585171,-0.008559234,0.027891403,-0.08918924,0.071646,-0.038215466,0.0016296065,-0.014279164,0.07844016,-0.06727284,0.0074873613,0.061915156,0.01374291,0.20766194,0.084823936
T-240s (t-8),-0.06511565,0.12783796,-0.009105419,0.061622765,-0.0030933178,-0.0017980009,0.008350273,-0.0065130703,-0.008746353,0.015720714,-0.0851443,0.08138072,-0.03689015,0.0016406927,-0.0189942,0.08185608,-0.07382103,0.007843082,0.059074327,0.019186746,0.22249277,0.08125122
T-210s (t-7),-0.060842104,0.13499308,-0.0040823333,0.06481617,-0.002941061,-0.0017038407,0.008021261,-0.00683646,-0.00901228,0.011250791,-0.079806365,0.087829374,-0.03546056,0.0013526869,-0.022718277,0.084145114,-0.077568546,0.008263073,0.05504016,0.02125636,0.23438527,0.07851847
T-180s (t-6),-0.054697156,0.13906597,-0.000902978,0.06689916,-0.0025162054,-0.0026128606,0.0069826394,-0.006549938,-0.009250427,0.009895816,-0.07229569,0.091901414,-0.033323407,0.0011602879,-0.025576677,0.084416,-0.07944785,0.008734497,0.04869681,0.022244267,0.2415504,0.07505122
T-150s (t-5),-0.046404917,0.13989346,-0.00022105724,0.06766942,-0.0017776623,-0.004531464,0.005223043,-0.005962602,-0.009228006,0.0098210145,-0.062048517,0.093580976,-0.029880907,0.0012842981,-0.027517062,0.08212392,-0.07950883,0.00925349,0.03961316,0.022761593,0.24285854,0.06905895
T-120s (t-4),-0.035741676,0.1370798,-0.0024781823,0.06671283,-0.0009784668,-0.007122157,0.0029144485,-0.005126395,-0.009014802,0.010472709,-0.04898369,0.09397125,-0.025194695,0.0017102826,-0.028172102,0.07701709,-0.077665456,0.009838227,0.02815571,0.023128599,0.23705642,0.062172428
T-90s (t-3),-0.022762952,0.12981905,-0.008009208,0.06348036,-0.00022446914,-0.010037414,0.0002678716,-0.004097444,-0.0085327905,0.011443678,-0.03325281,0.09267241,-0.019351533,0.0024981538,-0.027262123,0.06896034,-0.07356442,0.010487181,0.015350777,0.023468817,0.22266248,0.054508183
T-60s (t-2),-0.008107483,0.1167872,-0.016395211,0.05725278,0.0005759529,-0.012937297,-0.0025210965,-0.0028164429,-0.0076109404,0.012324375,-0.015500338,0.087191544,-0.012214325,0.0039196624,-0.023933506,0.05797156,-0.066474475,0.011111387,0.0030055812,0.0235374,0.19771874,0.04480978
T-30s (t-1),0.0062791007,0.095843464,-0.0252422,0.046731893,0.0014501776,-0.014776465,-0.0048899734,-0.0013825576,-0.0060833786,0.012641722,0.001814767,0.07472225,-0.004568995,0.0057327654,-0.01712351,0.0441616,-0.05502372,0.01131212,-0.006003273,0.022573536,0.15932058,0.032900665
T (t),0.015286458,0.062461387,-0.026995072,0.029479327,0.0026170746,-0.012922487,-0.005333558,4.7225694e-05,-0.0036759363,0.010822532,0.012646544,0.049437292,0.0014207348,0.0063132625,-0.0064713415,0.02685892,-0.036002718,0.009573498,-0.0079342695,0.017342389,0.101309724,0.01834695
