feature,mean_signed_attribution,mean_absolute_attribution,median_absolute_attribution,top5_frequency,overall_direction,normalized_importance
unique_host_pair_count,2.067017,2.089828,2.440876,0.6723,attack_supporting,0.178983
unique_src_hosts,1.20164,1.35468,1.279724,0.6669,attack_supporting,0.116022
mean_packet_rate,0.824333,1.314102,1.220213,0.8586,attack_supporting,0.112546
fan_out_ratio,0.601442,0.974091,0.456303,0.3784,attack_supporting,0.083426
mean_flow_duration,-0.47176,0.79301,0.708437,0.4529,attack_suppressing,0.067917
syn_count,0.685951,0.694052,0.076921,0.1243,attack_supporting,0.059442
ack_count,-0.68635,0.68697,0.003172,0.1243,attack_suppressing,0.058836
unique_dst_ports,0.581935,0.593885,0.267995,0.2461,attack_supporting,0.050863
unique_protocols,-0.010959,0.472946,0.257128,0.2384,attack_suppressing,0.040505
mean_byte_rate,-0.233679,0.468592,0.193047,0.2395,attack_suppressing,0.040133
fin_count,0.296914,0.407951,0.086434,0.132,attack_supporting,0.034939
total_flows,-0.339166,0.34489,0.155292,0.1622,attack_suppressing,0.029538
connection_failure_rate,0.209242,0.333451,0.206182,0.2737,attack_supporting,0.028558
unique_dst_hosts,-0.108069,0.252733,0.171437,0.1238,attack_suppressing,0.021645
std_iat,-0.212048,0.228055,0.0,0.204,attack_suppressing,0.019532
inbound_outbound_ratio,0.132285,0.132285,0.0,0.0,attack_supporting,0.01133
total_packets,-0.071907,0.125117,0.06333,0.0395,attack_suppressing,0.010716
rst_count,0.093904,0.119974,0.091609,0.0011,attack_supporting,0.010275
total_bytes,0.026918,0.097899,0.019357,0.0068,attack_supporting,0.008385
outbound_bytes,-0.079714,0.083145,0.010535,0.0225,attack_suppressing,0.007121
inbound_bytes,-0.045089,0.073438,0.009989,0.0028,attack_suppressing,0.00629
mean_iat,0.027242,0.035007,0.0,0.0299,attack_supporting,0.002998
