Model,Dataset,Horizon_K,Horizon_Seconds,F1,Precision,Recall,False_Positive_Rate,FPR_Percent,Accuracy,TN,FP,FN,TP,Test_Samples
GRU_World_Model,CIC-IDS2017,1,+30s,0.0226,0.0157,0.04,0.2901,29.01%,0.6404,460,188,72,3,723
GRU_World_Model,CIC-IDS2017,3,+90s,0.035,0.0237,0.0667,0.3179,31.79%,0.6183,442,206,70,5,723
GRU_World_Model,CIC-IDS2017,6,+180s,0.0361,0.025,0.0649,0.3019,30.19%,0.6307,451,195,72,5,723
GRU_World_Model,UNSW-NB15,1,+30s,0.9802,0.9767,0.9836,1.0,100.0%,0.9611,0,10,7,420,437
GRU_World_Model,UNSW-NB15,3,+90s,0.9814,0.9768,0.9859,1.0,100.0%,0.9634,0,10,6,421,437
GRU_World_Model,UNSW-NB15,6,+180s,0.9802,0.9767,0.9836,1.0,100.0%,0.9611,0,10,7,420,437
GRU_World_Model,CTU-13,1,+30s,0.9041,0.9189,0.8898,0.9661,96.61%,0.8255,6,171,240,1938,2355
GRU_World_Model,CTU-13,3,+90s,0.9168,0.9251,0.9085,0.8939,89.39%,0.8476,19,160,199,1977,2355
GRU_World_Model,CTU-13,6,+180s,0.8996,0.9169,0.8829,0.8918,89.18%,0.8191,21,173,253,1908,2355
GRU_World_Model,Overall,1,+30s,0.8728,0.8648,0.881,0.4419,44.19%,0.8043,466,369,319,2361,3515
GRU_World_Model,Overall,3,+90s,0.8807,0.8647,0.8973,0.4492,44.92%,0.8148,461,376,275,2403,3515
GRU_World_Model,Overall,6,+180s,0.8679,0.8606,0.8754,0.4447,44.47%,0.798,472,378,332,2333,3515
