Dataset,Horizon_K,Horizon_Seconds,Stage_Accuracy,Stage_Macro_F1,Stage_Weighted_F1
CIC-IDS2017,1,+30s,0.8022,0.2226,0.7979
CIC-IDS2017,3,+90s,0.8921,0.2357,0.8452
CIC-IDS2017,6,+180s,0.8893,0.2354,0.8412
UNSW-NB15,1,+30s,0.4256,0.1361,0.3666
UNSW-NB15,3,+90s,0.4577,0.1155,0.3319
UNSW-NB15,6,+180s,0.4645,0.1211,0.3346
CTU-13,1,+30s,0.8042,0.6173,0.8446
CTU-13,3,+90s,0.8391,0.6532,0.8685
CTU-13,6,+180s,0.7728,0.5374,0.813
Overall,1,+30s,0.7568,0.3031,0.7685
Overall,3,+90s,0.8026,0.3224,0.8055
Overall,6,+180s,0.7585,0.3079,0.7625
