Dataset,Horizon_K,Horizon_Seconds,Overall_MAE,Overall_RMSE,Overall_R2
CIC-IDS2017,1,+30s,0.235,0.5732,-79945972046327.69
CIC-IDS2017,3,+90s,0.2366,0.5762,-57757438279526.03
CIC-IDS2017,6,+180s,0.2469,0.589,-14938923883351.807
UNSW-NB15,1,+30s,0.1438,0.3486,-1.0071872471306943e+28
UNSW-NB15,3,+90s,0.1478,0.3583,-1.6286015838602618e+28
UNSW-NB15,6,+180s,0.1439,0.3633,-6.29593967173608e+27
CTU-13,1,+30s,0.1898,0.6428,-1050174.7212
CTU-13,3,+90s,0.1923,0.6587,-768047.5164
CTU-13,6,+180s,0.196,0.6915,-820106.6731
Overall,1,+30s,0.1934,0.5996,0.6056
Overall,3,+90s,0.1959,0.6123,0.5971
Overall,6,+180s,0.2,0.6389,0.5862
