threshold,precision,recall,f1,fpr,fpr_percent,tpr,specificity,accuracy,utility,tn,fp,fn,tp,horizon
0.1,0.5478,1.0,0.7078,1.0,100.0,1.0,0.0,0.5478,0.2078,0,1575,0,1908,+30s
0.15,0.5478,1.0,0.7078,1.0,100.0,1.0,0.0,0.5478,0.2078,0,1575,0,1908,+30s
0.2,0.5478,1.0,0.7078,1.0,100.0,1.0,0.0,0.5478,0.2078,0,1575,0,1908,+30s
0.25,0.5478,1.0,0.7078,1.0,100.0,1.0,0.0,0.5478,0.2078,0,1575,0,1908,+30s
0.3,0.5579,0.9827,0.7117,0.9435,94.35,0.9827,0.0565,0.5639,0.24,89,1486,33,1875,+30s
0.35,0.5814,0.9712,0.7274,0.847,84.7,0.9712,0.153,0.6012,0.3039,241,1334,55,1853,+30s
0.4,0.5991,0.9534,0.7358,0.7727,77.27,0.9534,0.2273,0.625,0.3495,358,1217,89,1819,+30s
0.45,0.6761,0.8983,0.7716,0.5213,52.13,0.8983,0.4787,0.7086,0.5109,754,821,194,1714,+30s
0.5,0.6436,0.7259,0.6823,0.487,48.7,0.7259,0.513,0.6296,0.4388,808,767,523,1385,+30s
0.55,0.6467,0.6803,0.6631,0.4502,45.02,0.6803,0.5498,0.6213,0.438,866,709,610,1298,+30s
0.6,0.6237,0.5524,0.5859,0.4038,40.38,0.5524,0.5962,0.5722,0.384,939,636,854,1054,+30s
0.65,0.4962,0.2704,0.3501,0.3327,33.27,0.2704,0.6673,0.4499,0.1837,1051,524,1392,516,+30s
0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4522,0.0,1575,0,1908,0,+30s
0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4522,0.0,1575,0,1908,0,+30s
0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4522,0.0,1575,0,1908,0,+30s
0.85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4522,0.0,1575,0,1908,0,+30s
0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4522,0.0,1575,0,1908,0,+30s
0.1,0.5475,1.0,0.7076,1.0,100.0,1.0,0.0,0.5475,0.2076,0,1576,0,1907,+90s
0.15,0.5475,1.0,0.7076,1.0,100.0,1.0,0.0,0.5475,0.2076,0,1576,0,1907,+90s
0.2,0.5475,1.0,0.7076,1.0,100.0,1.0,0.0,0.5475,0.2076,0,1576,0,1907,+90s
0.25,0.5475,1.0,0.7076,1.0,100.0,1.0,0.0,0.5475,0.2076,0,1576,0,1907,+90s
0.3,0.5536,0.9864,0.7091,0.9626,96.26,0.9864,0.0374,0.557,0.2279,59,1517,26,1881,+90s
0.35,0.5779,0.9727,0.725,0.8598,85.98,0.9727,0.1402,0.596,0.2951,221,1355,52,1855,+90s
0.4,0.5987,0.9512,0.7349,0.7716,77.16,0.9512,0.2284,0.6242,0.3491,360,1216,93,1814,+90s
0.45,0.6741,0.8894,0.7669,0.5203,52.03,0.8894,0.4797,0.704,0.5067,756,820,211,1696,+90s
0.5,0.6397,0.7263,0.6803,0.4949,49.49,0.7263,0.5051,0.6262,0.4328,796,780,522,1385,+90s
0.55,0.6424,0.6812,0.6612,0.4588,45.88,0.6812,0.5412,0.6179,0.4319,853,723,608,1299,+90s
0.6,0.6034,0.5186,0.5578,0.4124,41.24,0.5186,0.5876,0.5498,0.3516,926,650,918,989,+90s
0.65,0.5033,0.279,0.359,0.3331,33.31,0.279,0.6669,0.4545,0.1924,1051,525,1375,532,+90s
0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4525,0.0,1576,0,1907,0,+90s
0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4525,0.0,1576,0,1907,0,+90s
0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4525,0.0,1576,0,1907,0,+90s
0.85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4525,0.0,1576,0,1907,0,+90s
0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4525,0.0,1576,0,1907,0,+90s
0.1,0.5467,1.0,0.7069,1.0,100.0,1.0,0.0,0.5467,0.2069,0,1579,0,1904,+180s
0.15,0.5467,1.0,0.7069,1.0,100.0,1.0,0.0,0.5467,0.2069,0,1579,0,1904,+180s
0.2,0.5467,1.0,0.7069,1.0,100.0,1.0,0.0,0.5467,0.2069,0,1579,0,1904,+180s
0.25,0.5485,1.0,0.7085,0.9924,99.24,1.0,0.0076,0.5501,0.2123,12,1567,0,1904,+180s
0.3,0.5606,0.9842,0.7143,0.9303,93.03,0.9842,0.0697,0.5696,0.2491,110,1469,30,1874,+180s
0.35,0.5787,0.9669,0.7241,0.8486,84.86,0.9669,0.1514,0.5972,0.2998,239,1340,63,1841,+180s
0.4,0.5952,0.9538,0.733,0.7821,78.21,0.9538,0.2179,0.6202,0.3419,344,1235,88,1816,+180s
0.45,0.6741,0.9018,0.7715,0.5256,52.56,0.9018,0.4744,0.708,0.5087,749,830,187,1717,+180s
0.5,0.6433,0.7274,0.6828,0.4864,48.64,0.7274,0.5136,0.6305,0.4396,811,768,519,1385,+180s
0.55,0.6456,0.6801,0.6624,0.4503,45.03,0.6801,0.5497,0.621,0.4373,868,711,609,1295,+180s
0.6,0.6064,0.5163,0.5577,0.4041,40.41,0.5163,0.5959,0.5524,0.3557,941,638,921,983,+180s
0.65,0.4995,0.2726,0.3527,0.3293,32.93,0.2726,0.6707,0.4531,0.188,1059,520,1385,519,+180s
0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4533,0.0,1579,0,1904,0,+180s
0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4533,0.0,1579,0,1904,0,+180s
0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4533,0.0,1579,0,1904,0,+180s
0.85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4533,0.0,1579,0,1904,0,+180s
0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4533,0.0,1579,0,1904,0,+180s
