Model,Dataset,Horizon_K,Horizon_Seconds,F1,Precision,Recall,False_Positive_Rate,FPR_Percent,Accuracy,TN,FP,FN,TP,Test_Samples
LSTM_World_Model,CIC-IDS2017,1,+30s,0.0,0.0,0.0,0.267,26.7%,0.657,475,173,75,0,723
LSTM_World_Model,CIC-IDS2017,3,+90s,0.0,0.0,0.0,0.2608,26.08%,0.6625,479,169,75,0,723
LSTM_World_Model,CIC-IDS2017,6,+180s,0.0,0.0,0.0,0.2802,28.02%,0.6432,465,181,77,0,723
LSTM_World_Model,UNSW-NB15,1,+30s,0.8526,0.973,0.7588,0.9,90.0%,0.7437,1,9,103,324,437
LSTM_World_Model,UNSW-NB15,3,+90s,0.8526,0.973,0.7588,0.9,90.0%,0.7437,1,9,103,324,437
LSTM_World_Model,UNSW-NB15,6,+180s,0.876,0.9769,0.7939,0.8,80.0%,0.7803,2,8,88,339,437
LSTM_World_Model,CTU-13,1,+30s,0.7446,0.9191,0.6258,0.678,67.8%,0.603,57,120,815,1363,2355
LSTM_World_Model,CTU-13,3,+90s,0.7249,0.9195,0.5983,0.6369,63.69%,0.5805,65,114,874,1302,2355
LSTM_World_Model,CTU-13,6,+180s,0.7384,0.8968,0.6275,0.8041,80.41%,0.5919,38,156,805,1356,2355
LSTM_World_Model,Overall,1,+30s,0.7226,0.8482,0.6295,0.3617,36.17%,0.6316,533,302,993,1687,3515
LSTM_World_Model,Overall,3,+90s,0.7076,0.8478,0.6072,0.3489,34.89%,0.6176,545,292,1052,1626,3515
LSTM_World_Model,Overall,6,+180s,0.7205,0.8309,0.636,0.4059,40.59%,0.6259,505,345,970,1695,3515
