Dataset,Horizon_K,Horizon_Seconds,F1,Precision,Recall,False_Positive_Rate,FPR_Percent,Accuracy,Specificity,ROC_AUC,PR_AUC,TN,FP,FN,TP,Train_Samples,Val_Samples,Test_Samples,Test_Attack_Actual,Test_Benign_Actual,Model
CIC-IDS2017,1,+30s,0.0423,0.0287,0.08,0.3133,31.33%,0.6238,0.6867,0.2422,0.0639,445,203,69,6,3332.0,711.0,723,75.0,648.0,Logistic_Regression
CIC-IDS2017,3,+90s,0.0282,0.0191,0.0533,0.3164,31.64%,0.6183,0.6836,0.2449,0.0909,443,205,71,4,3332.0,711.0,723,75.0,648.0,Logistic_Regression
CIC-IDS2017,6,+180s,0.0424,0.0291,0.0779,0.3096,30.96%,0.6252,0.6904,0.2578,0.067,446,200,71,6,3332.0,711.0,723,77.0,646.0,Logistic_Regression
UNSW-NB15,1,+30s,0.9896,0.9794,1.0,0.9,90.0%,0.9794,0.1,0.6295,0.9859,1,9,0,427,2032.0,435.0,437,427.0,10.0,Logistic_Regression
UNSW-NB15,3,+90s,0.9873,0.9771,0.9977,1.0,100.0%,0.9748,0.0,0.4932,0.981,0,10,1,426,2032.0,435.0,437,427.0,10.0,Logistic_Regression
UNSW-NB15,6,+180s,0.9873,0.9771,0.9977,1.0,100.0%,0.9748,0.0,0.3321,0.9684,0,10,1,426,2032.0,435.0,437,427.0,10.0,Logistic_Regression
CTU-13,1,+30s,0.8963,0.9778,0.8274,0.2316,23.16%,0.8229,0.7684,0.8676,0.9863,136,41,376,1802,10928.0,2337.0,2355,2178.0,177.0,Logistic_Regression
CTU-13,3,+90s,0.8912,0.9754,0.8203,0.2514,25.14%,0.8149,0.7486,0.8698,0.9873,134,45,391,1785,10928.0,2337.0,2355,2176.0,179.0,Logistic_Regression
CTU-13,6,+180s,0.8946,0.9718,0.8288,0.268,26.8%,0.8208,0.732,0.861,0.9837,142,52,370,1791,10928.0,2337.0,2355,2161.0,194.0,Logistic_Regression
Overall,1,+30s,0.8569,0.9789,0.7619,0.0527,5.27%,0.806,0.9473,0.8761,0.9579,791,44,638,2042,16292.0,3483.0,3515,2680.0,835.0,Logistic_Regression
Overall,3,+90s,0.854,0.9765,0.7588,0.0585,5.85%,0.8023,0.9415,0.8741,0.9554,788,49,646,2032,16292.0,3483.0,3515,2678.0,837.0,Logistic_Regression
Overall,6,+180s,0.8555,0.9755,0.7617,0.06,6.0%,0.8048,0.94,0.8779,0.9569,799,51,635,2030,16292.0,3483.0,3515,2665.0,850.0,Logistic_Regression
CIC-IDS2017,1,+30s,0.0,0.0,0.0,0.267,26.7%,0.657,,,,475,173,75,0,,,723,,,LSTM_World_Model
CIC-IDS2017,3,+90s,0.0,0.0,0.0,0.2608,26.08%,0.6625,,,,479,169,75,0,,,723,,,LSTM_World_Model
CIC-IDS2017,6,+180s,0.0,0.0,0.0,0.2802,28.02%,0.6432,,,,465,181,77,0,,,723,,,LSTM_World_Model
UNSW-NB15,1,+30s,0.8526,0.973,0.7588,0.9,90.0%,0.7437,,,,1,9,103,324,,,437,,,LSTM_World_Model
UNSW-NB15,3,+90s,0.8526,0.973,0.7588,0.9,90.0%,0.7437,,,,1,9,103,324,,,437,,,LSTM_World_Model
UNSW-NB15,6,+180s,0.876,0.9769,0.7939,0.8,80.0%,0.7803,,,,2,8,88,339,,,437,,,LSTM_World_Model
CTU-13,1,+30s,0.7446,0.9191,0.6258,0.678,67.8%,0.603,,,,57,120,815,1363,,,2355,,,LSTM_World_Model
CTU-13,3,+90s,0.7249,0.9195,0.5983,0.6369,63.69%,0.5805,,,,65,114,874,1302,,,2355,,,LSTM_World_Model
CTU-13,6,+180s,0.7384,0.8968,0.6275,0.8041,80.41%,0.5919,,,,38,156,805,1356,,,2355,,,LSTM_World_Model
Overall,1,+30s,0.7226,0.8482,0.6295,0.3617,36.17%,0.6316,,,,533,302,993,1687,,,3515,,,LSTM_World_Model
Overall,3,+90s,0.7076,0.8478,0.6072,0.3489,34.89%,0.6176,,,,545,292,1052,1626,,,3515,,,LSTM_World_Model
Overall,6,+180s,0.7205,0.8309,0.636,0.4059,40.59%,0.6259,,,,505,345,970,1695,,,3515,,,LSTM_World_Model
