Dataset,Horizon_K,Horizon_Seconds,Stage_Accuracy,Stage_Macro_F1,Stage_Weighted_F1
CIC-IDS2017,1,+30s,0.8769,0.2336,0.8375
CIC-IDS2017,3,+90s,0.7718,0.2178,0.7808
CIC-IDS2017,6,+180s,0.7026,0.2063,0.7374
UNSW-NB15,1,+30s,0.3112,0.1208,0.3239
UNSW-NB15,3,+90s,0.3227,0.0917,0.274
UNSW-NB15,6,+180s,0.3478,0.1015,0.2836
CTU-13,1,+30s,0.5724,0.4373,0.6716
CTU-13,3,+90s,0.5571,0.4318,0.6581
CTU-13,6,+180s,0.541,0.4152,0.6417
Overall,1,+30s,0.6026,0.2426,0.6171
Overall,3,+90s,0.5721,0.2414,0.5983
Overall,6,+180s,0.5502,0.2363,0.5816
