Dataset,Horizon_K,Horizon_Seconds,Overall_MAE,Overall_RMSE,Overall_R2
CIC-IDS2017,1,+30s,0.2393,0.5794,-194367547280164.38
CIC-IDS2017,3,+90s,0.242,0.5786,-79196143819276.23
CIC-IDS2017,6,+180s,0.243,0.5802,-40484463542440.97
UNSW-NB15,1,+30s,0.1289,0.3291,-8.439261054863704e+27
UNSW-NB15,3,+90s,0.1283,0.338,-7.735974254589402e+27
UNSW-NB15,6,+180s,0.1317,0.3544,-3.048853625380425e+27
CTU-13,1,+30s,0.1973,0.6417,-3153524.7413
CTU-13,3,+90s,0.2043,0.6625,-2491246.0881
CTU-13,6,+180s,0.2081,0.6915,-4649677.9781
Overall,1,+30s,0.1974,0.5987,0.6053
Overall,3,+90s,0.2026,0.6141,0.5933
Overall,6,+180s,0.2058,0.6366,0.5849
