Model,Dataset,Horizon_K,Horizon_Seconds,F1,Precision,Recall,False_Positive_Rate,FPR_Percent,Accuracy,TN,FP,FN,TP
Logistic_Regression,CIC-IDS2017,1,+30s,0.0423,0.0287,0.08,0.3133,31.33%,0.6238,445,203,69,6
Logistic_Regression,CIC-IDS2017,3,+90s,0.0282,0.0191,0.0533,0.3164,31.64%,0.6183,443,205,71,4
Logistic_Regression,CIC-IDS2017,6,+180s,0.0424,0.0291,0.0779,0.3096,30.96%,0.6252,446,200,71,6
Logistic_Regression,UNSW-NB15,1,+30s,0.9896,0.9794,1.0,0.9,90.0%,0.9794,1,9,0,427
Logistic_Regression,UNSW-NB15,3,+90s,0.9873,0.9771,0.9977,1.0,100.0%,0.9748,0,10,1,426
Logistic_Regression,UNSW-NB15,6,+180s,0.9873,0.9771,0.9977,1.0,100.0%,0.9748,0,10,1,426
Logistic_Regression,CTU-13,1,+30s,0.8963,0.9778,0.8274,0.2316,23.16%,0.8229,136,41,376,1802
Logistic_Regression,CTU-13,3,+90s,0.8912,0.9754,0.8203,0.2514,25.14%,0.8149,134,45,391,1785
Logistic_Regression,CTU-13,6,+180s,0.8946,0.9718,0.8288,0.268,26.8%,0.8208,142,52,370,1791
Logistic_Regression,Overall,1,+30s,0.8569,0.9789,0.7619,0.0527,5.27%,0.806,791,44,638,2042
Logistic_Regression,Overall,3,+90s,0.854,0.9765,0.7588,0.0585,5.85%,0.8023,788,49,646,2032
Logistic_Regression,Overall,6,+180s,0.8555,0.9755,0.7617,0.06,6.0%,0.8048,799,51,635,2030
LSTM_World_Model,CIC-IDS2017,1,+30s,0.0,0.0,0.0,0.267,26.7%,0.657,475,173,75,0
LSTM_World_Model,CIC-IDS2017,3,+90s,0.0,0.0,0.0,0.2608,26.08%,0.6625,479,169,75,0
LSTM_World_Model,CIC-IDS2017,6,+180s,0.0,0.0,0.0,0.2802,28.02%,0.6432,465,181,77,0
LSTM_World_Model,UNSW-NB15,1,+30s,0.8526,0.973,0.7588,0.9,90.0%,0.7437,1,9,103,324
LSTM_World_Model,UNSW-NB15,3,+90s,0.8526,0.973,0.7588,0.9,90.0%,0.7437,1,9,103,324
LSTM_World_Model,UNSW-NB15,6,+180s,0.876,0.9769,0.7939,0.8,80.0%,0.7803,2,8,88,339
LSTM_World_Model,CTU-13,1,+30s,0.7446,0.9191,0.6258,0.678,67.8%,0.603,57,120,815,1363
LSTM_World_Model,CTU-13,3,+90s,0.7249,0.9195,0.5983,0.6369,63.69%,0.5805,65,114,874,1302
LSTM_World_Model,CTU-13,6,+180s,0.7384,0.8968,0.6275,0.8041,80.41%,0.5919,38,156,805,1356
LSTM_World_Model,Overall,1,+30s,0.7226,0.8482,0.6295,0.3617,36.17%,0.6316,533,302,993,1687
LSTM_World_Model,Overall,3,+90s,0.7076,0.8478,0.6072,0.3489,34.89%,0.6176,545,292,1052,1626
LSTM_World_Model,Overall,6,+180s,0.7205,0.8309,0.636,0.4059,40.59%,0.6259,505,345,970,1695
GRU_World_Model,CIC-IDS2017,1,+30s,0.0226,0.0157,0.04,0.2901,29.01%,0.6404,460,188,72,3
GRU_World_Model,CIC-IDS2017,3,+90s,0.035,0.0237,0.0667,0.3179,31.79%,0.6183,442,206,70,5
GRU_World_Model,CIC-IDS2017,6,+180s,0.0361,0.025,0.0649,0.3019,30.19%,0.6307,451,195,72,5
GRU_World_Model,UNSW-NB15,1,+30s,0.9802,0.9767,0.9836,1.0,100.0%,0.9611,0,10,7,420
GRU_World_Model,UNSW-NB15,3,+90s,0.9814,0.9768,0.9859,1.0,100.0%,0.9634,0,10,6,421
GRU_World_Model,UNSW-NB15,6,+180s,0.9802,0.9767,0.9836,1.0,100.0%,0.9611,0,10,7,420
GRU_World_Model,CTU-13,1,+30s,0.9041,0.9189,0.8898,0.9661,96.61%,0.8255,6,171,240,1938
GRU_World_Model,CTU-13,3,+90s,0.9168,0.9251,0.9085,0.8939,89.39%,0.8476,19,160,199,1977
GRU_World_Model,CTU-13,6,+180s,0.8996,0.9169,0.8829,0.8918,89.18%,0.8191,21,173,253,1908
GRU_World_Model,Overall,1,+30s,0.8728,0.8648,0.881,0.4419,44.19%,0.8043,466,369,319,2361
GRU_World_Model,Overall,3,+90s,0.8807,0.8647,0.8973,0.4492,44.92%,0.8148,461,376,275,2403
GRU_World_Model,Overall,6,+180s,0.8679,0.8606,0.8754,0.4447,44.47%,0.798,472,378,332,2333
